date,area_name,cases_7d,pred
2021-03-30,East Midlands,454.57142857142856,294.4015354459217
2021-03-31,East Midlands,420.7142857142857,286.41370291123553
2021-04-01,East Midlands,393.8571428571428,270.11327337296177
2021-04-02,East Midlands,372.7142857142857,135.94229684144972
2021-04-03,East Midlands,356.85714285714283,285.1381649823696
2021-04-04,East Midlands,321.42857142857144,304.2871566867686
2021-04-05,East Midlands,300.0,96.13709234716966
2021-04-06,East Midlands,297.85714285714283,184.2915935919632
2021-04-07,East Midlands,285.7142857142857,181.39113386607525
2021-04-08,East Midlands,280.1428571428572,174.9273626216386
2021-04-09,East Midlands,278.85714285714283,170.56573791401956
2021-04-10,East Midlands,268.57142857142856,234.44272947181818
2021-04-11,East Midlands,266.7142857142857,247.18249301758863
2021-04-12,East Midlands,266.7142857142857,178.98355733848666
2021-04-13,East Midlands,250.57142857142856,171.57008249010855
2021-04-14,East Midlands,239.7142857142857,165.88221348250786
2021-04-15,East Midlands,223.57142857142856,161.9144778933155
2021-04-16,East Midlands,211.42857142857144,158.7864008274764
2021-04-17,East Midlands,200.8571428571429,208.98545317768878
2021-04-18,East Midlands,202.42857142857144,220.25156579093266
2021-04-19,East Midlands,196.8571428571429,173.5347222406442
2021-04-20,East Midlands,194.57142857142856,170.76281041497126
2021-04-21,East Midlands,192.14285714285717,167.84843830652426
2021-04-22,East Midlands,188.57142857142856,166.40534513046714
2021-04-23,East Midlands,183.28571428571428,166.78178912339578
2021-04-24,East Midlands,182.28571428571428,197.67534723792105
2021-04-25,East Midlands,173.57142857142858,203.974292935339
2021-04-26,East Midlands,170.71428571428572,164.2421434613096
2021-04-27,East Midlands,164.71428571428572,159.66118915991117
2021-04-28,East Midlands,162.28571428571428,157.33372679300618
2021-04-29,East Midlands,162.42857142857142,154.36581069482548
2021-04-30,East Midlands,157.42857142857142,154.68361195462128
2021-05-01,East Midlands,156.0,180.084686526482
2021-05-02,East Midlands,156.14285714285714,187.21814582165968
2021-05-03,East Midlands,156.71428571428572,56.83767371338525
2021-05-04,East Midlands,165.85714285714286,135.2911602299635
2021-05-05,East Midlands,175.57142857142858,136.23151674697763
2021-05-06,East Midlands,187.57142857142856,134.05340442484064
2021-05-07,East Midlands,198.14285714285717,135.56834162037217
2021-05-08,East Midlands,201.7142857142857,149.3959066169826
2021-05-09,East Midlands,209.57142857142856,166.88837868631677
2021-05-10,East Midlands,217.14285714285717,132.11716555918042
2021-05-11,East Midlands,206.0,130.2614583796084
2021-05-12,East Midlands,190.57142857142856,128.89170649992658
2021-05-13,East Midlands,175.85714285714286,123.9710339288463
2021-05-14,East Midlands,169.71428571428572,125.83565406474445
2021-05-15,East Midlands,166.57142857142858,146.2523323613789
2021-05-16,East Midlands,156.85714285714286,157.6933229924161
2021-05-17,East Midlands,146.14285714285714,127.8353682386622
2021-05-18,East Midlands,144.28571428571428,125.663946348139
2021-05-19,East Midlands,149.57142857142858,125.04761210714233
2021-05-20,East Midlands,152.71428571428572,121.66447951213377
2021-05-21,East Midlands,151.42857142857142,120.62118380785948
2021-05-22,East Midlands,153.42857142857142,146.13495107752667
2021-05-23,East Midlands,153.28571428571428,153.74245414190585
2021-05-24,East Midlands,158.85714285714286,121.2063585706689
2021-05-25,East Midlands,164.28571428571428,120.45915509258673
2021-05-26,East Midlands,166.57142857142858,119.65471228050384
2021-05-27,East Midlands,168.85714285714286,118.77636536917244
2021-05-28,East Midlands,177.42857142857142,116.15653265588489
2021-05-29,East Midlands,180.8571428571429,137.74823540102145
2021-05-30,East Midlands,182.8571428571429,145.9305644567888
2021-05-31,East Midlands,178.85714285714286,43.23438561711834
2021-06-01,East Midlands,190.7142857142857,83.33544246447515
2021-06-02,East Midlands,201.28571428571428,82.01603902062564
2021-06-03,East Midlands,212.42857142857144,79.49987646732839
2021-06-04,East Midlands,223.14285714285717,78.87925382017035
2021-06-05,East Midlands,233.57142857142856,114.60251346163912
2021-06-06,East Midlands,251.42857142857144,121.69103860041632
2021-06-07,East Midlands,287.1428571428572,95.29829940407404
2021-06-08,East Midlands,304.7142857142857,95.28654499543399
2021-06-09,East Midlands,323.2857142857143,94.09908871278276
2021-06-10,East Midlands,334.0,92.63635111419036
2021-06-11,East Midlands,347.42857142857144,93.16446331564404
2021-06-12,East Midlands,362.7142857142857,114.03837896151366
2021-06-13,East Midlands,369.57142857142856,119.647985382247
2021-06-14,East Midlands,379.7142857142857,92.80839574963015
2021-06-15,East Midlands,404.8571428571428,93.32800679766375
2021-06-16,East Midlands,426.57142857142856,91.31912239448305
