date,obs_sum,uncoupled,coupled
2021-02-17,10365.857142857143,8554.759074959544,8272.256361994143
2021-02-18,10176.571428571428,8089.299084643296,7799.3693992360295
2021-02-19,9928.285714285714,7808.887220443055,7530.086313608962
2021-02-20,9806.714285714286,10833.955650614149,10511.544014144287
2021-02-21,9699.857142857143,11118.824828032653,10754.730751695886
2021-02-22,9322.428571428572,7963.320281474607,7620.200704854632
2021-02-23,8935.142857142859,7633.761904552721,7288.060638432361
2021-02-24,8539.0,7439.498265316474,7083.555929264547
2021-02-25,8060.0,7122.57242641715,6764.98278727572
2021-02-26,7583.857142857143,7017.274922323753,6655.600642436639
2021-02-27,7168.0,9158.854673737826,8747.139311745415
2021-02-28,6753.142857142857,9384.654115637915,8923.643830531599
2021-03-01,6173.857142857143,6626.402791271495,6237.152958713362
2021-03-02,5804.285714285715,6359.832923687049,5965.371936850232
2021-03-03,5478.999999999999,6153.237395899745,5757.544046704298
2021-03-04,5205.857142857143,5906.834566340278,5510.554491580687
2021-03-05,5042.571428571429,5843.793156746731,5448.595342234366
2021-03-06,4982.285714285715,7518.839472418526,7054.460001551061
2021-03-07,4920.0,7749.162738523206,7249.302751576958
2021-03-08,4864.0,5758.923964090318,5319.753362563621
2021-03-09,4800.857142857143,5647.598847910341,5204.192945170061
2021-03-10,4788.285714285715,5480.594461668636,5043.736462032815
2021-03-11,4764.857142857143,5372.806441815852,4921.209069813799
2021-03-12,4771.142857142857,5364.514379613554,4907.274121076202
2021-03-13,4739.142857142857,6485.062807807582,5974.505400806581
2021-03-14,4744.714285714285,7350.187820234064,6740.5672023282195
2021-03-15,4719.0,5206.470345144271,4722.416405677571
2021-03-16,4638.428571428572,5034.748239518386,4547.3833074800095
2021-03-17,4611.285714285714,4996.433541439619,4503.2006416796385
2021-03-18,4586.857142857143,4835.937476824981,4339.167148879076
2021-03-19,4523.428571428572,4792.996177470009,4295.357367973639
2021-03-20,4511.285714285714,5827.221850023958,5255.5055574858325
2021-03-21,4647.428571428572,6043.3916785688925,5439.311555221138
2021-03-22,4613.0,4661.5137525607915,4135.6906714863135
2021-03-23,4558.285714285715,4517.793191444312,3989.8743720491652
2021-03-24,4597.0,4460.522160901983,3934.050126515861
2021-03-25,4593.285714285714,4334.532683840764,3802.2765246011018
2021-03-26,4516.571428571428,4255.707712524894,3728.3724090971364
2021-03-27,4462.857142857143,5187.486263533025,4578.497938478427
2021-03-28,4436.571428571428,5187.982739801227,4562.825451358974
2021-03-29,4155.285714285714,3954.6474677356923,3432.441662384437
2021-03-30,3956.571428571429,3846.2310459088,3325.976863468837
2021-03-31,3675.857142857143,3747.8399832258615,3233.7262775719737
2021-04-01,3448.5714285714284,3587.2889185551085,3074.3510396157467
2021-04-02,3229.142857142857,1756.193283951709,1508.840995436392
2021-04-03,3084.2857142857138,3882.57312408107,3357.3165901249376
2021-04-04,2736.0,4061.692203113231,3500.348578166114
2021-04-05,2579.857142857143,1264.9037232416983,1085.2752644577345
2021-04-06,2522.7142857142862,2495.8065898096092,2117.0618083945583
2021-04-07,2438.5714285714284,2441.3191079168328,2069.3734302439116
2021-04-08,2379.0,2379.0039628700947,2005.7128117658294
2021-04-09,2410.857142857143,2340.7469493641847,1972.489940965294
2021-04-10,2393.285714285714,3241.9746285579645,2748.514822692576
2021-04-11,2388.714285714286,3402.715933837076,2881.943053284746
2021-04-12,2398.0,2473.486192403963,2060.7673518116667
2021-04-13,2299.1428571428573,2397.201754993266,1985.0426848835723
2021-04-14,2200.0,2330.6571059002026,1926.429637287622
2021-04-15,2104.5714285714284,2297.4738633242278,1890.0740346716539
2021-04-16,2029.5714285714284,2261.591615819022,1856.1370940296692
2021-04-17,1942.7142857142858,3022.151164746299,2503.5263994809225
2021-04-18,1980.1428571428569,3172.0531293044755,2612.571925232638
2021-04-19,1961.5714285714287,2511.11479572094,2039.9519203895286
2021-04-20,1970.8571428571431,2495.5624592966833,2016.1347608236883
2021-04-21,2005.2857142857142,2458.5854336595853,1980.3440927031907
2021-04-22,2016.4285714285713,2474.115426036331,1983.2816608823896
2021-04-23,1981.571428571429,2472.2993944177742,1974.3468509019517
2021-04-24,1969.2857142857142,3000.2619498985086,2413.925368608454
2021-04-25,1915.4285714285716,3101.6412249594578,2488.457151092338
2021-04-26,1916.857142857143,2502.941514652267,1974.8278150538933
2021-04-27,1874.5714285714287,2462.722828917952,1930.39745967319
2021-04-28,1855.2857142857142,2429.1727393792166,1901.9683108569316
2021-04-29,1830.2857142857142,2416.721151377428,1879.8631696423345
2021-04-30,1805.5714285714287,2412.013889579576,1872.1149311391641
2021-05-01,1792.2857142857147,2864.6945815854324,2241.8525994503766
2021-05-02,1708.571428571429,2956.050067724721,2302.8074885622996
2021-05-03,1644.4285714285716,888.0829580593945,685.421501649779
2021-05-04,1698.2857142857142,2186.2560124057813,1668.858778992335
2021-05-05,1704.4285714285716,2197.8115236529247,1674.3872305935142
2021-05-06,1720.1428571428569,2179.710791925587,1648.1356138627514
2021-05-07,1739.4285714285716,2227.118114040758,1679.763064556408
2021-05-08,1754.142857142857,2520.9023478195336,1923.5130073522917
2021-05-09,1852.142857142857,2753.9995921778172,2092.770983117667
2021-05-10,1925.2857142857142,2222.46952865093,1654.5812087607583
2021-05-11,1879.7142857142858,2218.9329115639525,1643.149985547853
2021-05-12,1834.1428571428573,2189.5892107373757,1613.013453132883
2021-05-13,1801.7142857142856,2143.5827256084367,1564.8607966104023
2021-05-14,1785.2857142857142,2178.6327162758143,1586.354539670146
2021-05-15,1786.0,2566.937657967681,1887.515485186459
2021-05-16,1728.857142857143,2728.507013952808,2008.3085827354148
2021-05-17,1731.8571428571427,2249.177347348214,1618.9734642215826
2021-05-18,1785.571428571429,2235.4293777804833,1599.6085724178674
2021-05-19,1841.1428571428573,2232.922362502994,1591.894425657358
2021-05-20,1878.7142857142858,2195.4154700183517,1557.2540550336516
2021-05-21,1927.0,2199.2512428553387,1555.5593869888648
2021-05-22,1969.1428571428573,2737.974180648661,1949.6000381460576
2021-05-23,2016.2857142857142,2810.389129739657,1999.5139547809495
2021-05-24,2074.285714285714,2257.0180922064624,1569.6629339407666
2021-05-25,2153.0,2264.086014528687,1565.0539596854035
2021-05-26,2282.5714285714284,2260.5315088426173,1556.7050206851202
2021-05-27,2433.1428571428573,2263.8847918227048,1549.7842679143514
2021-05-28,2582.0,2227.2876882616256,1518.7748125492199
2021-05-29,2704.0,2714.298999704689,1872.287259977969
2021-05-30,2800.428571428571,2908.020931588015,1993.4153877114059
2021-05-31,2860.5714285714284,847.4620655477262,573.9408315563168
2021-06-01,3101.142857142857,1664.9413102059495,1118.6126652771486
2021-06-02,3365.0000000000005,1641.1919641025033,1098.605724193828
2021-06-03,3657.0000000000005,1608.7376375097929,1070.6461861747773
2021-06-04,3935.0000000000005,1605.9798521473942,1064.958535916572
2021-06-05,4148.714285714285,2377.9797867638663,1599.3007494318188
2021-06-06,4452.0,2556.3378764155796,1710.7016491739178
2021-06-07,4962.285714285715,1978.8714331076562,1291.3075488507639
2021-06-08,5265.142857142857,2005.069780924682,1297.8472822211831
2021-06-09,5533.428571428572,1999.0629362285845,1287.213570002651
2021-06-10,5757.714285714286,1996.5913045640427,1278.6239375910038
2021-06-11,5987.5714285714275,2012.766901523808,1282.7675884545376
2021-06-12,6194.285714285714,2515.568304433215,1627.197968272261
2021-06-13,6384.857142857143,2680.468281272358,1724.6135883156412
2021-06-14,6692.142857142858,2067.0489162725526,1299.909988284635
2021-06-15,7047.428571428572,2099.1858505002006,1309.5317702527984
2021-06-16,7399.142857142857,2071.976666999675,1286.0137786814626
2021-06-17,7799.142857142857,2048.1697165793203,1265.0102562398256
2021-06-18,8122.571428571428,2057.7536354518443,1262.8660511071917
2021-06-19,8365.142857142859,2570.210761362284,1604.3747838571626
2021-06-20,8667.714285714286,2785.627553306401,1733.0390077907741
2021-06-21,9198.142857142857,2115.5773538787926,1284.977619120426
2021-06-22,9830.142857142857,2141.682300981131,1289.3584147833828
2021-06-23,10599.0,2126.9079440036053,1273.8108579478608
2021-06-24,11388.42857142857,2106.070816600035,1255.6936969783128
2021-06-25,12253.714285714284,2095.197968371479,1243.243280425698
2021-06-26,13156.857142857143,2662.8388968804534,1605.6379134510837
2021-06-27,14184.857142857143,2813.75021671396,1692.7585892725533
2021-06-28,15727.428571428572,2157.2240030785615,1263.7118833797388
2021-06-29,17099.571428571428,2126.957443013788,1236.5088644073257
2021-06-30,18396.14285714286,2130.3182907646083,1233.5550398728867
2021-07-01,19696.85714285715,2128.4411764333745,1225.935638259431
2021-07-02,20748.85714285714,2135.413157861576,1224.2878398348582
2021-07-03,21765.71428571429,2681.430928050318,1559.631954583233
2021-07-04,22672.714285714283,2826.077309244846,1641.2162427517133
2021-07-05,23624.0,2179.4061462193017,1238.2366607392462
2021-07-06,24817.285714285714,2161.0009973478773,1218.9232503515927
2021-07-07,26284.0,2152.296990279504,1208.4099962028545
2021-07-08,27085.85714285714,2108.0737551416296,1178.6556189969067
2021-07-09,28044.285714285717,2129.5603758481484,1184.8085204358774
2021-07-10,28718.14285714286,2706.1753150423774,1528.0489421193108
2021-07-11,29517.142857142855,2963.736627559593,1671.2062026431108
2021-07-12,30973.0,2060.8208827359567,1130.3277484722098
2021-07-13,32618.285714285714,2139.2072876288535,1167.7811603362816
2021-07-14,34907.857142857145,2123.0314765720864,1154.0207554802455
2021-07-15,38848.71428571429,2086.5952396362363,1130.2933121088945
2021-07-16,41999.14285714286,2078.7297135332647,1119.253487470949
2021-07-17,43408.71428571429,2658.9425892233394,1456.844453573998
2021-07-18,44226.28571428572,2854.091550575297,1557.8558914420346
2021-07-19,44651.14285714286,2041.6183036401233,1077.7501803461462
2021-07-20,43612.28571428571,2003.0885705197475,1046.2000715327258
2021-07-21,40945.571428571435,1955.0327428319,1017.6039346579346
2021-07-22,36690.71428571429,1880.9368870320882,976.372852208231
2021-07-23,32903.42857142857,1850.2030436739185,951.4057814024354
2021-07-24,30762.428571428572,2566.122764139823,1351.6864438238981
2021-07-25,28831.71428571429,2796.782932230255,1460.7461715945874
2021-07-26,26419.14285714286,1786.9276873478807,913.956000697797
2021-07-27,25003.999999999996,1751.9424461054305,890.6212937217786
2021-07-28,24330.142857142855,1704.5143557286183,862.4161394138457
2021-07-29,23996.714285714286,1662.41764697537,838.9338817700955
2021-07-30,23642.571428571428,1614.946635401702,811.2055806860628
2021-07-31,23382.285714285717,2370.101441511656,1209.8109211010812
2021-08-01,23242.85714285714,2548.5940366143427,1297.8165148821533
2021-08-02,23250.285714285714,1617.4181305886527,801.491006417637
2021-08-03,23401.428571428572,1582.8413269595676,781.3005651062147
2021-08-04,23680.42857142857,1543.6398231313228,759.903023805092
2021-08-05,24070.57142857143,1485.4269436489315,730.5001073395032
2021-08-06,24457.571428571428,1462.0320261855204,713.7948789863625
2021-08-07,24674.428571428572,2127.2717790830893,1050.463912834239
2021-08-08,24888.428571428572,2302.528958694778,1130.7490529058202
2021-08-09,25129.714285714286,1486.2506741645138,713.8432268234774
2021-08-10,25211.857142857145,1459.2916992887037,697.5848341423668
2021-08-11,25248.285714285714,1418.9870312032276,675.112185009428
2021-08-12,25178.0,1383.1020199851712,655.7088927367533
2021-08-13,25196.428571428572,1357.6584498131406,641.4642429923088
2021-08-14,25388.14285714286,1974.247258606381,944.6109777159129
2021-08-15,25541.85714285714,2127.3096450290977,1013.549759736416
2021-08-16,25906.285714285714,1365.9889897020457,633.9221590187558
2021-08-17,26396.571428571428,1328.7365529552937,614.2911807573684
2021-08-18,26716.857142857145,1332.6655598452376,614.8659590904964
2021-08-19,26917.571428571428,1288.2289754699673,592.3724372072136
2021-08-20,27002.857142857145,1269.1091604054063,579.6736015847325
2021-08-21,27178.857142857145,1798.6630965125487,834.2033214805281
2021-08-22,27341.285714285714,1989.3693848214684,918.9308200671516
2021-08-23,27267.85714285714,1282.7001271277245,578.3010195060086
2021-08-24,26855.14285714286,1248.6876996426154,560.6225460680589
2021-08-25,26353.714285714286,1222.7514177231224,546.5067040837454
2021-08-26,25987.85714285714,1179.1281411334662,525.74916507939
