date,obs_cases_7d,vax observed,vax none,vax +20%,mobility observed,mobility baseline,mobility extra 20% cut
2021-07-29,24196.14285714286,7.293773393049639e-07,0.037408050827417064,5.940165772774677e-08,7.293773393049639e-07,0.009822959676635145,4.1699112150134275e-09
2021-07-30,23842.285714285717,6.498922513477856e-07,0.035623017126238776,5.2148458863155014e-08,6.498922513477856e-07,0.008796095860997494,3.694773816002748e-09
2021-07-31,23581.42857142857,8.836634096328585e-07,0.0526305143816742,6.961353073725596e-08,8.836634096328585e-07,0.007875535146895646,4.987707778963476e-09
2021-08-01,23446.714285714286,8.366812142647388e-07,0.05516728110210022,6.449333523958053e-08,8.366812142647388e-07,0.007053478073899057,4.6813703471801194e-09
2021-08-02,23452.285714285717,4.601512097794749e-07,0.0329974034238251,3.484848025899251e-08,4.601512097794749e-07,0.006319729580344448,2.5566662084837125e-09
2021-08-03,23600.14285714286,4.1362478388388413e-07,0.031631802393274344,3.0882104688592905e-08,4.1362478388388413e-07,0.005660604454508007,2.2854364932722175e-09
2021-08-04,23881.571428571428,3.7179159941853396e-07,0.030346238738500196,2.7361072987102702e-08,3.7179159941853396e-07,0.005068850769343103,2.043020291509215e-09
2021-08-05,24276.571428571428,3.2871952511019117e-07,0.028641349098544426,2.3842169851555382e-08,3.2871952511019117e-07,0.004538113725899482,1.796447711180244e-09
2021-08-06,24668.285714285717,2.970967344198315e-07,0.027641459128104198,2.123759131503719e-08,2.970967344198315e-07,0.0040627058149763536,1.6148005652316515e-09
2021-08-07,24883.571428571428,3.996528427723115e-07,0.040370967428357725,2.8052327978137792e-08,3.996528427723115e-07,0.003635883700368657,2.157006455178224e-09
2021-08-08,25089.714285714286,3.8061197920721623e-07,0.04252387141619089,2.6143947506199355e-08,3.8061197920721623e-07,0.0032546128362123234,2.036774820572651e-09
2021-08-09,25334.285714285717,2.1290349646283705e-07,0.025869964155929057,1.4367819636353291e-08,2.1290349646283705e-07,0.0029146520393150744,1.1314813109262625e-09
2021-08-10,25412.571428571428,1.921975476378781e-07,0.024928330471765278,1.2783805864720313e-08,1.921975476378781e-07,0.0026091556017495184,1.015800470304834e-09
2021-08-11,25446.85714285714,1.7169814899737398e-07,0.0237941704198119,1.1250989180448814e-08,1.7169814899737398e-07,0.0023343273080755765,9.024994877672758e-10
2021-08-12,25384.571428571428,1.5304498226791053e-07,0.022670050147766022,9.877171547449665e-09,1.5304498226791053e-07,0.0020876573683658484,8.000582095274569e-10
2021-08-13,25404.714285714286,1.3807488370302035e-07,0.02187189887640682,8.776670330695174e-09,1.3807488370302035e-07,0.0018670826820879755,7.178731813019323e-10
2021-08-14,25601.714285714286,1.8583411127074649e-07,0.03201851254588055,1.1590273075789933e-08,1.8583411127074649e-07,0.0016691751011065497,9.594153487570492e-10
2021-08-15,25762.14285714286,1.7600438368468998e-07,0.03360635996572594,1.0733188659724905e-08,1.7600438368468998e-07,0.0014924233395110737,9.009616241055833e-10
2021-08-16,26129.14285714286,9.752466255069592e-08,0.02027745944347744,5.839039547174138e-09,9.752466255069592e-08,0.001334975045534695,4.958258444080431e-10
2021-08-17,26627.0,8.708277305989434e-08,0.019334363433699157,5.136205577258479e-09,8.708277305989434e-08,0.0011936536165315492,4.4034382297947935e-10
2021-08-18,26954.285714285717,8.044665841408203e-08,0.01910521975337756,4.671442825957884e-09,8.044665841408203e-08,0.0010667264132689193,4.045780266147354e-10
2021-08-19,27153.0,7.098354151283927e-08,0.018058398543188726,4.055243545391116e-09,7.098354151283927e-08,0.0009525892817523265,3.5503413145460916e-10
2021-08-20,27233.42857142857,6.392473729407582e-08,0.017431620923256404,3.591135261439919e-09,6.392473729407582e-08,0.0008500898708311327,3.1799481787485815e-10
2021-08-21,27414.714285714286,8.385067919090445e-08,0.024913410510239726,4.613927543679535e-09,8.385067919090445e-08,0.0007580336362282719,4.1425892259692694e-10
2021-08-22,27576.0,8.123417425938857e-08,0.026794143879344406,4.364642007404545e-09,8.123417425938857e-08,0.000676381828813754,3.979785721231752e-10
2021-08-23,27500.571428571428,4.5325696177418635e-08,0.01632024255426846,2.3883989687037384e-09,4.5325696177418635e-08,0.000604098091864881,2.2055080402620154e-10
2021-08-24,27088.714285714286,4.0402176285533294e-08,0.015573477978736207,2.094410431302412e-09,4.0402176285533294e-08,0.0005391266664673077,1.9553083741822333e-10
2021-08-25,26585.14285714286,3.622951098593047e-08,0.014964006817106579,1.846539442665494e-09,3.622951098593047e-08,0.0004807694981041539,1.7440129096231002e-10
2021-08-26,26213.85714285714,3.1952736105572086e-08,0.014142542154282754,1.6012038027191151e-09,3.1952736105572086e-08,0.000428691884053266,1.52995836910454e-10
2021-08-27,26027.85714285714,2.8423864567940147e-08,0.013474177891189187,1.4012811265546006e-09,2.8423864567940147e-08,0.0003824360993118719,1.3538641969732943e-10
2021-08-28,25675.42857142857,3.8288647141430384e-08,0.019760395319634593,1.8510397440591557e-09,3.8288647141430384e-08,0.0003412506817809471,1.8114821980898652e-10
2021-08-29,25210.14285714286,3.652098963272621e-08,0.020912836904187528,1.72583895154737e-09,3.652098963272621e-08,0.00030469928897526436,1.713617176942177e-10
2021-08-30,24444.42857142857,9.514170023432539e-09,0.005839107779516526,4.430895510703381e-10,9.514170023432539e-09,0.0002723076870283657,4.4415907456608367e-11
2021-08-31,25209.14285714286,1.830924868267606e-08,0.01181519727039393,8.425327847460299e-10,1.830924868267606e-08,0.0002432017494660679,8.5120059804545e-11
2021-09-01,25737.571428571428,1.721080624600326e-08,0.011923811121680885,7.791186087869464e-10,1.721080624600326e-08,0.00021701016485278275,7.958175012056926e-11
2021-09-02,26331.0,1.5766065031745473e-08,0.011760436834991573,7.016785139876202e-10,1.5766065031745473e-08,0.00019362614417076286,7.24885385214265e-11
2021-09-03,26970.571428571428,1.4489883501207643e-08,0.011661086497212432,6.338602494335941e-10,1.4489883501207643e-08,0.0001727790113920793,6.623598090824218e-11
2021-09-04,27437.85714285714,1.793989610171363e-08,0.015816741785021744,7.688646754817462e-10,1.793989610171363e-08,0.0001541570129468048,8.142485018866616e-11
2021-09-05,28052.85714285714,1.7106897536294582e-08,0.016801372507287183,7.162881665775278e-10,1.7106897536294582e-08,0.00013761583651878992,7.699434351179004e-11
2021-09-06,29218.85714285714,1.0610526748154934e-08,0.011442405509246004,4.3563666955994266e-10,1.0610526748154934e-08,0.00012293017147149747,4.7417425219473275e-11
2021-09-07,28415.0,9.628955136294115e-09,0.01121597404358942,3.887733840539515e-10,9.628955136294115e-09,0.00010979040802702554,4.2772266745459195e-11
2021-09-08,27566.285714285717,8.711341200843005e-09,0.01097350301440098,3.458032365372767e-10,8.711341200843005e-09,9.80401637963923e-05,3.84634631871951e-11
2021-09-09,26681.14285714286,7.809657234520171e-09,0.010646362700679531,3.047214765612366e-10,7.809657234520171e-09,8.753264568933288e-05,3.4273758246444446e-11
2021-09-10,25581.285714285717,7.1263256357636865e-09,0.010524293994610367,2.732531117023209e-10,7.1263256357636865e-09,7.81416210600388e-05,3.10847617480569e-11
2021-09-11,24659.42857142857,8.375003058047252e-09,0.01357511585031939,3.146862920917432e-10,8.375003058047252e-09,6.974547091795279e-05,3.626892553297949e-11
2021-09-12,23862.571428571428,7.873235938302798e-09,0.014205234041159103,2.8919662881064366e-10,7.873235938302798e-09,6.227465611911978e-05,3.3815167885410975e-11
2021-09-13,22728.85714285714,5.058821326454672e-09,0.010023481847490835,1.8223348193582496e-10,5.058821326454672e-09,5.5624790985332186e-05,2.1574256408026803e-11
2021-09-14,21972.14285714286,4.464077901916091e-09,0.00956042045136818,1.5814268645490353e-10,4.464077901916091e-09,4.967129870117714e-05,1.8923820469625485e-11
2021-09-15,21508.571428571428,4.062522963630608e-09,0.009407913436255105,1.4150699045637934e-10,4.062522963630608e-09,4.434494813487762e-05,1.7119072522210493e-11
2021-09-16,21205.714285714286,3.5751975556938947e-09,0.00895451253093977,1.224370295169341e-10,3.5751975556938947e-09,3.958521677195614e-05,1.4976068028698974e-11
2021-09-17,21397.714285714286,3.2141902962596056e-09,0.008703830971302583,1.0824007361586319e-10,3.2141902962596056e-09,3.5337782904994466e-05,1.3384696804792307e-11
2021-09-18,21964.85714285714,3.793271395378227e-09,0.011244704078923376,1.2526900451123468e-10,3.793271395378227e-09,3.153979653664718e-05,1.5686692045078493e-11
2021-09-19,22952.0,3.5505786119120823e-09,0.011682853801888627,1.1470131189827417e-10,3.5505786119120823e-09,2.8156729104349835e-05,1.4566469106146012e-11
2021-09-20,23940.85714285714,2.3148388191792275e-09,0.008348595799066888,7.336523351537333e-11,2.3148388191792275e-09,2.514235135515519e-05,9.431871825387758e-12
2021-09-21,25070.285714285717,2.098483500043305e-09,0.0081818041966923,6.540012733869315e-11,2.098483500043305e-09,2.2443505938266398e-05,8.499509390532765e-12
2021-09-22,25981.0,1.9371078513256176e-09,0.00818127557317343,5.933656554994286e-11,1.9371078513256176e-09,2.0030064196388344e-05,7.798626155944214e-12
2021-09-23,26841.0,1.7240639460517095e-09,0.007898327211581261,5.187907042553864e-11,1.7240639460517095e-09,1.7869472987235988e-05,6.8987205057750986e-12
2021-09-24,27323.714285714286,1.5495101554364868e-09,0.007702296263867845,4.579267749169337e-11,1.5495101554364868e-09,1.5936750440527568e-05,6.1627713327277305e-12
2021-09-25,27675.571428571428,1.7765450722804356e-09,0.009688455252144474,5.1455018573703795e-11,1.7765450722804356e-09,1.4216480471449545e-05,7.016230170165449e-12
2021-09-26,27964.85714285714,1.6701410777989928e-09,0.010121020123718223,4.731928714734068e-11,1.6701410777989928e-09,1.2690722526118962e-05,6.5435319431342765e-12
2021-09-27,28318.285714285717,1.092260876675577e-09,0.00726745271246232,3.0340310372156086e-11,1.092260876675577e-09,1.1323844626949891e-05,4.250071349381262e-12
2021-09-28,28187.0,9.75800931932538e-10,0.007030529801434869,2.661815582493965e-11,9.75800931932538e-10,1.0092598827710693e-05,3.7744180991647105e-12
2021-09-29,28172.571428571428,8.75579393128364e-10,0.006835173897402152,2.3446348408668367e-11,8.75579393128364e-10,8.991139903131835e-06,3.3668607843887844e-12
2021-09-30,27953.714285714286,7.792504857602923e-10,0.006592898965627902,2.0480834406443744e-11,7.792504857602923e-10,8.008110625725543e-06,2.978884031265799e-12
2021-10-01,27722.285714285717,7.048426594041864e-10,0.006466398733711929,1.818101863052758e-11,7.048426594041864e-10,7.131922320329956e-06,2.6786668114171625e-12
2021-10-02,27505.714285714286,7.927427706433518e-10,0.007966063776831346,2.0039055466922902e-11,7.927427706433518e-10,6.35611876418863e-06,2.992423872391532e-12
2021-10-03,27552.0,7.602042742759664e-10,0.0084732301373012,1.88019782822409e-11,7.602042742759664e-10,5.670369361837276e-06,2.8475272761403805e-12
2021-10-04,27820.571428571428,5.040562173949176e-10,0.006169786172013981,1.2216397408513401e-11,5.040562173949176e-10,5.054495003932188e-06,1.8753624184491993e-12
2021-10-05,28197.85714285714,4.4742805411613487e-10,0.005935676087684221,1.0639287568652208e-11,4.4742805411613487e-10,4.498919698563383e-06,1.6549568385870646e-12
2021-10-06,28749.14285714286,4.089467083673826e-10,0.005886297463961619,9.536604156136696e-12,4.089467083673826e-10,4.002807625743753e-06,1.5037967064493132e-12
2021-10-07,29513.42857142857,3.660948884192158e-10,0.005724204349158418,8.370559406220683e-12,3.660948884192158e-10,3.561029549810356e-06,1.3382924188429598e-12
2021-10-08,30329.714285714286,3.291199756680514e-10,0.005593009928973392,7.377992931107792e-12,3.291199756680514e-10,3.167866544718582e-06,1.196064347866139e-12
2021-10-09,31087.85714285714,3.7707712960449537e-10,0.007040584986749813,8.27551440822698e-12,3.7707712960449537e-10,2.820590208817435e-06,1.3609883331677398e-12
2021-10-10,31710.85714285714,3.503645637002233e-10,0.007274367088400613,7.519091570360415e-12,3.503645637002233e-10,2.5146064985820566e-06,1.2548356278403824e-12
2021-10-11,32659.42857142857,2.357375837841957e-10,0.005383080069761951,4.954610910155552e-12,2.357375837841957e-10,2.239571270116092e-06,8.386456640987582e-13
2021-10-12,33891.28571428572,2.1167888722720219e-10,0.005252721886854346,4.3601733759097144e-12,2.1167888722720219e-10,1.99111240074479e-06,7.486235197570719e-13
2021-10-13,35034.142857142855,1.9026701408041705e-10,0.005135452838188884,3.839314017300546e-12,1.9026701408041705e-10,1.7694596749035444e-06,6.689570635487116e-13
2021-10-14,36049.0,1.7022938335408805e-10,0.005000507166890843,3.3644036799491167e-12,1.7022938335408805e-10,1.572204250940063e-06,5.949957670952013e-13
2021-10-15,37018.0,1.5245267648526015e-10,0.004876020934668399,2.9509757450055525e-12,1.5245267648526015e-10,1.396779409605499e-06,5.297519836176647e-13
2021-10-16,37655.0,1.7145188575813084e-10,0.006029080448474025,3.247516693159511e-12,1.7145188575813084e-10,1.2424841501644886e-06,5.917742596632128e-13
