date,cases,cases_7d,sir,seir,seirs
2021-11-12,31337.0,31324.571428571428,7168.757029054935,23437.764169757753,28940.95978608247
2021-11-13,27358.0,32007.0,7088.575006318266,23239.334090835262,28743.119894508425
2021-11-14,29599.0,32600.14285714286,7009.163306120624,23041.702465672755,28545.7522837462
2021-11-15,42477.0,33505.71428571428,6930.517572294567,22844.88516562485,28348.87617802122
2021-11-16,38656.0,34073.857142857145,6852.633394250799,22648.897604019865,28152.510372583158
2021-11-17,38257.0,34483.42857142857,6775.506309561935,22453.754740046792,27956.673235711976
2021-11-18,37099.0,34969.0,6699.13180649267,22259.471082771295,27761.382710883918
2021-11-19,33184.0,35232.857142857145,6623.50532647681,22066.06069527446,27566.65631909197
2021-11-20,29868.0,35591.42857142857,6548.622266541592,21873.537198908554,27372.511161315175
2021-11-21,31761.0,35900.28571428572,6474.477981679806,21681.9137776637,27178.96392113133
2021-11-22,42869.0,35956.28571428572,6401.067787170205,21491.20318263986,26986.03086746763
2021-11-23,41015.0,36293.28571428572,6328.386960846683,21301.417736618198,26793.727857483827
