date,cases_7d,deaths,stringency,workplace_m,inc_filter,deaths_filter,inc_openloop,S,I,R,D,V,beta,Reff
2021-12-17,76279.42857142857,114.0,40.76,0.7172518095939149,58637.68522472033,510.80356833282866,2382.4945255896564,6430323.0412723785,253072.72460387385,7804643.426683698,145325.49204151586,42087521.0,2.037662978129902,1.6219203282990196
2021-12-18,81563.71428571429,92.0,40.76,0.9384582154362856,64798.95269018986,545.7274670122736,2252.4866429540107,6393783.3176760385,270375.43496168,7826017.386752377,145627.4813833122,42122399.0,2.11971030175301,1.6776400892174852
2021-12-19,86153.71428571429,92.0,40.75,0.9945238474975318,70907.53388557506,581.9284160481936,2129.8287979626125,6354901.118144705,288310.84765988734,7849002.485048587,145952.2342453358,42152732.0,2.1885489765394257,1.7215888379772648
2021-12-20,92020.85714285714,101.0,40.75,0.6003976007747938,77363.63887127768,621.1920240773779,2012.0500295712204,6307768.060188542,307763.62535710534,7873722.26215678,146301.4961132306,42185166.0,2.253603732009194,1.7596149365298648
2021-12-21,97575.42857142857,89.0,40.75,0.5921475512791302,83718.79601791118,661.1802194169397,1899.6076037383573,6252558.032902642,327575.39288176154,7900094.709015375,146674.1082937677,42217815.0,2.311466700114726,1.78899754029115
2021-12-22,103073.71428571428,115.0,41.3,0.5707301162125724,90254.02699986794,704.3576520146695,1792.071881063298,6186920.979652437,348967.23739171954,7929084.624417683,147083.70227842763,42251545.0,2.363964950297828,1.8104226451777128
2021-12-23,109247.57142857143,123.0,41.29,0.5208776444478198,96993.13209396144,749.7095992038926,1691.207402035567,6118941.882550535,371436.424282343,7960359.40372141,147525.57874815134,42279639.0,2.413314013210403,1.8279088432685133
2021-12-24,113904.0,114.0,41.29,0.3944138248041756,103227.80595540968,793.8776068515942,1600.3461054567165,6056880.689437332,393319.0396920408,7994339.072051181,148005.67217217665,42288776.0,2.450396575426655,1.8371717836330577
2021-12-25,111187.14285714286,95.0,41.29,0.3532004215732286,105980.03702169497,828.3982418133264,1516.328346202052,5976712.562010355,410421.95691193186,8032759.891238052,148548.5139226903,42289274.0,2.4432324021962306,1.8075549971393294
2021-12-26,114104.42857142857,108.0,44.07,0.6445685557132925,108668.80432492065,862.5233580145571,1436.4114864529283,5896627.032053563,427328.91815861233,8072796.227272043,149114.1810581349,42290926.0,2.438779946423343,1.7800846091864573
