date,area_code,area_name,population,cases,cases_7d,deaths,admissions,hospital_occupancy,vax_first_dose,vax_second_dose,vax_third_dose,vax_first_cum,vax_second_cum,workplace_pct_england,workplace_m,transit_pct_england,transit_m,retail_pct_england,residential_pct_england,workplace_pct_gb,stringency,c4_gatherings,c6_stay_home,c7_movement,h7_vaccine_policy
2021-06-27,E92000001,England,56550138,15407.0,14279.142857142857,19.0,226.0,1331.0,119242.0,99158.0,85.0,36315831.0,26531202.0,-3.8020570073201654,0.9619794299267983,-18.69431854695013,0.8130568145304987,-13.98352349404981,1.449421338895023,-4.0,51.39,4.0,0.0,0.0,5.0
2021-06-28,E92000001,England,56550138,23511.0,15822.57142857143,10.0,244.0,1465.0,101737.0,102982.0,124.0,36417568.0,26634184.0,-29.44155151216555,0.7055844848783446,-27.260477096003413,0.7273952290399659,-9.792447318763108,7.822641393694026,-32.0,51.39,4.0,0.0,0.0,5.0
2021-06-29,E92000001,England,56550138,23250.0,17206.428571428572,21.0,283.0,1445.0,113555.0,113057.0,171.0,36531123.0,26747241.0,-29.84146376690236,0.7015853623309765,-31.978264425632844,0.6802173557436715,-12.65190116900643,7.657403301701548,-33.0,51.39,4.0,0.0,0.0,5.0
2021-06-30,E92000001,England,56550138,23941.0,18511.428571428572,21.0,331.0,1500.0,117324.0,137101.0,143.0,36648447.0,26884342.0,-28.784907230521267,0.7121509276947873,-30.299510285036604,0.697004897149634,-9.65062846510215,7.178069672367918,-31.0,51.39,4.0,0.0,0.0,5.0
2021-07-01,E92000001,England,56550138,24267.0,19823.285714285714,22.0,295.0,1560.0,120557.0,145657.0,157.0,36769004.0,27029999.0,-28.252451901574705,0.717475480984253,-27.040384177226283,0.7295961582277372,-6.765886598781336,7.988386353737231,-31.0,51.39,4.0,0.0,0.0,5.0
2021-07-02,E92000001,England,56550138,22287.0,20878.428571428572,26.0,307.0,1611.0,104124.0,139115.0,139.0,36873128.0,27169114.0,-27.248259489048962,0.7275174051095104,-21.132437153489786,0.7886756284651022,-11.646961225908594,6.981990231990232,-30.0,51.39,4.0,0.0,0.0,5.0
2021-07-03,E92000001,England,56550138,20638.0,21900.14285714286,24.0,323.0,1636.0,124697.0,169511.0,116.0,36997825.0,27338625.0,-7.094852207571505,0.9290514779242849,-21.95641361562414,0.7804358638437586,-19.16322058383462,2.4798631193368035,-7.0,51.39,4.0,0.0,0.0,5.0
2021-07-04,E92000001,England,56550138,21806.0,22814.285714285714,23.0,390.0,1744.0,63537.0,86503.0,44.0,37061362.0,27425128.0,-4.748805726437305,0.952511942735627,-18.694955629166156,0.8130504437083385,-14.815730760467602,2.1516017608122873,-5.0,51.39,4.0,0.0,0.0,5.0
2021-07-05,E92000001,England,56550138,30215.0,23772.0,24.0,416.0,1888.0,61545.0,106120.0,77.0,37122907.0,27531248.0,-29.377798955430535,0.7062220104456947,-26.86544303649567,0.7313455696350433,-8.675614297982719,8.446453335488423,-32.0,51.39,4.0,0.0,0.0,5.0
2021-07-06,E92000001,England,56550138,31627.0,24968.714285714286,19.0,458.0,1998.0,70377.0,108134.0,92.0,37193284.0,27639382.0,-29.475594921647556,0.7052440507835245,-31.453580629896422,0.6854641937010357,-12.02847196662986,9.693158222544188,-32.0,51.39,4.0,0.0,0.0,5.0
